ProfileID,LayerNr,ExCa,ExMg,ExNa,ExK,Country,loc_longitude,loc_latitude
KE SOTER_ASS/P44,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.286040,-0.164400
KE SOTER_ASS/P45,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,37.261700,-0.177900
KE SOTER_ASS/P57,3.000000,7.400000,1.700000,0.400000,0.800000,KE,37.291800,-0.250000
KE SOTER_ASS/P58,3.000000,1.200000,0.500000,0.100000,0.200000,KE,37.291900,-0.288280
KE SOTER_LAIK-10,3.000000,7.900000,3.300000,1.800000,1.300000,KE,37.033300,0.066600
KE SOTER_LAIK-12,3.000000,10.800000,4.600000,1.100000,3.750000,KE,37.021300,0.066600
KE SOTER_LAIK-15,3.000000,9.700000,5.300000,0.500000,9.800000,KE,36.850000,-0.116600
KE SOTER_LAIK-2,3.000000,8.500000,2.400000,0.300000,0.600000,KE,37.060000,0.350000
KE SOTER_LAIK-3,3.000000,7.300000,2.600000,0.600000,0.200000,KE,37.050000,0.400000
KE SOTER_LAIK-4,3.000000,5.800000,1.800000,0.900000,0.620000,KE,37.083300,0.366600
KE SOTER_R3,3.000000,6.000000,7.400000,2.000000,0.200000,KE,39.200000,-4.500000
KE W3_0025,3.000000,25.700000,8.500000,0.800000,4.500000,KE,37.700000,-2.516670
KE W3_0125,3.000000,12.400000,4.300000,0.100000,2.500000,KE,36.633333,-1.216667
KE W3_0252,3.000000,1.300000,0.600000,0.100000,0.200000,KE,37.366667,-1.376944
KE W3_0253,3.000000,2.100000,0.900000,0.100000,0.200000,KE,37.366667,-1.872778
KE W3_0259,3.000000,12.200000,6.100000,0.100000,1.400000,KE,38.116667,-1.118611
KE W3_0260,3.000000,1.700000,1.500000,0.100000,0.700000,KE,38.366667,-1.872778
