"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","terrain_slope","wet_index","X","Y","mg"
1856.19189453125,26,19,2833,40,53,34,30,90,34.6214032859046,0.975618385443562,276
2087.57080078125,30,17,2837,37,53,30,14,89,34.6484866191946,0.975618385443562,255
1576.06616210938,25,20,2867,66,53,35,3,85,34.5130699527446,0.973535052113563,375
1638.06713867188,25,20,2939,58,51,34,18,79,34.5214032860646,0.973535052113563,370
2085.51123046875,31,18,2786,25,54,31,5,97,34.6651532858346,0.973535052113563,224
1555.61743164062,25,20,2761,59,54,36,13,88,34.4964032861046,0.971451718783563,400
1535.77294921875,25,20,2698,61,53,35,12,87,34.5047366194246,0.971451718783563,377
1668.95300292969,24,19,2961,49,52,35,11,77,34.5318199527146,0.971451718783563,372
1967.79260253906,27,19,2896,34,53,33,5,93,34.6276532858946,0.971451718783563,283
2085.51123046875,31,18,2786,25,54,31,5,97,34.6630699525046,0.971451718783563,203
1919.10217285156,24,19,2993,32,55,34,9,87,34.5964032859446,0.969368385453563,270
1895.56384277344,26,19,2810,30,53,33,16,91,34.6151532859146,0.969368385453563,285
1856.19189453125,26,19,2833,40,53,34,30,90,34.6214032859046,0.969368385453563,270
1856.19189453125,26,19,2833,40,53,34,30,90,34.6255699525646,0.969368385453563,234
2077.9736328125,32,18,2700,42,55,31,14,91,34.6859866191345,0.969368385453563,255
2077.9736328125,32,18,2700,42,55,31,14,91,34.6922366191245,0.969368385453563,237
2086.11010742188,34,17,2671,39,55,29,7,91,34.7005699524445,0.969368385453563,238
1636.646484375,26,20,2827,56,52,35,14,86,34.5172366194046,0.967285052123563,358
1835.26635742188,23,20,2913,26,53,35,10,84,34.5589032860046,0.967285052123563,325
1893.98901367188,24,19,2959,34,54,35,7,84,34.6005699526046,0.967285052123563,256
1998.70825195312,25,19,2912,42,52,35,12,93,34.6026532859346,0.967285052123563,252
1998.70825195312,25,19,2912,42,52,35,12,93,34.6089032859246,0.967285052123563,255
2070.21704101562,38,16,2596,41,57,27,7,95,34.7109866190945,0.967285052123563,267
1573.01086425781,26,19,2696,55,52,35,21,91,34.5005699527646,0.965201718793563,379
1893.98901367188,24,19,2959,34,54,35,7,84,34.5964032859446,0.965201718793563,268
1919.42724609375,25,19,2823,41,54,34,10,91,34.6130699525846,0.965201718793563,258
2064.09106445312,29,19,2883,37,54,32,4,95,34.6380699525446,0.965201718793563,230
1587.87646484375,26,20,2762,52,52,34,20,87,34.5047366194246,0.963118385463563,410
1587.87646484375,26,20,2762,52,52,34,20,87,34.5089032860846,0.963118385463563,388
1659.1494140625,24,19,2742,50,51,34,26,84,34.5359866193746,0.963118385463563,392
1893.98901367188,24,19,2959,34,54,35,7,84,34.6005699526046,0.963118385463563,228
1599.14013671875,25,20,2697,51,52,36,22,87,34.4901532861146,0.961035052133563,440
1672.046875,25,20,2876,49,51,34,21,77,34.5318199527146,0.961035052133563,375
1659.1494140625,24,19,2742,50,51,34,26,84,34.5359866193746,0.961035052133563,396
1835.26635742188,23,20,2913,26,53,35,10,84,34.5526532860146,0.961035052133563,357
1835.26635742188,23,20,2913,26,53,35,10,84,34.5547366193446,0.961035052133563,341
1919.42724609375,25,19,2823,41,54,34,10,91,34.6109866192546,0.961035052133563,274
1962.08569335938,27,19,2887,32,54,33,3,96,34.6297366192246,0.961035052133563,256
2101.51025390625,31,18,2786,40,54,31,2,91,34.6568199525146,0.961035052133563,261
2104.40478515625,31,18,2739,36,55,31,8,94,34.6714032858246,0.961035052133563,254
2071.8408203125,34,17,2634,42,54,30,6,93,34.6984866191145,0.961035052133563,255
