"annual_precip","clay","occ","ph20","tree_cover","X","Y","k"
2097.36865234375,27,42,51,67,36.7047139574858,-0.868135962951369,293
2115.36840820312,29,39,51,59,36.719297166036,-0.868135962951369,260
2115.77563476562,29,41,52,85,36.7276304280648,-0.868135962951369,267
2109.20581054688,30,40,51,97,36.7359636900935,-0.868135962951369,274
2101.2841796875,30,43,51,77,36.7442969521222,-0.868135962951369,323
2081.39331054688,31,48,51,90,36.7609634761796,-0.868135962951369,307
2081.39331054688,31,48,51,90,36.7630467916868,-0.868135962951369,314
2067.50463867188,32,46,51,93,36.7692967382083,-0.868135962951369,324
2012.18286132812,36,45,52,55,36.7984631553088,-0.868135962951369,798
1949.18823242188,41,52,54,45,36.8255462569021,-0.868135962951369,833
1960.04357910156,40,33,61,20,36.6067981286484,-0.870219316987844,664
2020.31506347656,36,44,60,19,36.6317979147345,-0.870219316987844,535
2020.31506347656,36,44,60,19,36.6338812302417,-0.870219316987844,523
2093.08422851562,31,58,59,16,36.6442978077776,-0.870219316987844,482
2101.17456054688,29,55,55,82,36.6630476473422,-0.870219316987844,290
2108.95263671875,28,54,54,74,36.6734642248781,-0.870219316987844,280
2109.07739257812,27,61,54,53,36.6797141713997,-0.870219316987844,281
2098.93969726562,27,56,55,71,36.6880474334284,-0.870219316987844,276
2092.470703125,27,41,54,87,36.6984640109643,-0.870219316987844,289
2097.36865234375,27,42,51,67,36.7088805885002,-0.870219316987844,283
2107.869140625,28,39,50,64,36.7109639040073,-0.870219316987844,288
2115.36840820312,29,39,51,59,36.719297166036,-0.870219316987844,278
2109.20581054688,30,40,51,97,36.7380470056006,-0.870219316987844,292
2081.39331054688,31,48,51,90,36.7609634761796,-0.870219316987844,309
2067.50463867188,32,46,51,93,36.7734633692227,-0.870219316987844,321
1989.54821777344,38,41,55,13,36.8067964173375,-0.870219316987844,799
2064.1806640625,31,47,60,60,36.6422144922704,-0.872302671024318,502
2093.08422851562,31,58,59,16,36.6505477542992,-0.872302671024318,366
2109.07739257812,27,61,54,53,36.6817974869068,-0.872302671024318,269
2092.470703125,27,41,54,87,36.6963806954571,-0.872302671024318,295
2097.36865234375,27,42,51,67,36.7026306419786,-0.872302671024318,294
2115.36840820312,29,39,51,59,36.7234637970504,-0.872302671024318,257
2093.54809570312,30,48,52,88,36.7567968451653,-0.872302671024318,319
2081.39331054688,31,48,51,90,36.7630467916868,-0.872302671024318,340
2067.50463867188,32,46,51,93,36.7692967382083,-0.872302671024318,341
1989.54821777344,38,41,55,13,36.8088797328447,-0.872302671024318,776
1949.18823242188,41,52,54,45,36.8255462569021,-0.872302671024318,821
1944.68994140625,46,48,53,63,36.8297128879165,-0.872302671024318,804
1949.77844238281,50,42,53,50,36.835962834438,-0.872302671024318,818
1965.451171875,38,41,60,34,36.6109647596628,-0.874386025060792,654
1998.80029296875,34,44,60,75,36.6317979147345,-0.874386025060792,522
2053.26733398438,32,50,57,66,36.6380478612561,-0.874386025060792,511
2053.26733398438,32,50,57,66,36.6422144922704,-0.874386025060792,498
2091.60131835938,32,57,57,78,36.6442978077776,-0.874386025060792,489
2106.23168945312,28,57,55,50,36.6630476473422,-0.874386025060792,281
2111.61938476562,28,59,56,67,36.6713809093709,-0.874386025060792,277
2094.1826171875,28,54,56,67,36.6922140644427,-0.874386025060792,285
2110.57739257812,31,43,50,69,36.7297137435719,-0.874386025060792,279
2028.23840332031,35,52,52,54,36.7901298932801,-0.874386025060792,788
2028.23840332031,35,52,52,54,36.7922132087873,-0.874386025060792,795
2008.41369628906,37,47,51,76,36.7984631553088,-0.874386025060792,801
2008.41369628906,37,47,51,76,36.800546470816,-0.874386025060792,777
1966.8154296875,36,42,60,17,36.6192980216915,-0.876469379097266,571
2094.1826171875,28,54,56,67,36.6901307489355,-0.876469379097266,285
2083.57690429688,28,41,52,86,36.7005473264714,-0.876469379097266,293
2106.08129882812,31,45,51,93,36.7359636900935,-0.876469379097266,274
1956.9365234375,43,42,52,19,36.8213796258878,-0.876469379097266,814
1965.451171875,38,41,60,34,36.6172147061843,-0.87855273313374,608
2091.60131835938,32,57,57,78,36.648464438792,-0.87855273313374,453
2106.23168945312,28,57,55,50,36.6630476473422,-0.87855273313374,294
2111.61938476562,28,59,56,67,36.6692975938638,-0.87855273313374,262
2083.57690429688,28,41,52,86,36.6984640109643,-0.87855273313374,281
2098.13305664062,30,51,51,79,36.7505468986437,-0.87855273313374,334
2087.47241210938,31,51,52,80,36.7588801606724,-0.87855273313374,314
