"elevation","occ","ph20","slope","wetness_index","X","Y","mg"
1617,16,58,3,88,34.9255699520844,0.440201719633564,265
1313,15,54,2,108,34.4609866194946,0.438118386303564,200
1476,13,56,4,110,34.7297366190645,0.438118386303564,194
1345,15,54,2,110,34.5026532860946,0.436035052973564,209
1498,13,56,2,113,34.7422366190445,0.436035052973564,176
1478,14,56,4,110,34.7339032857245,0.431868386313565,167
1482,13,56,3,109,34.7380699523845,0.431868386313565,175
1483,15,55,6,107,34.7547366190245,0.431868386313565,180
1545,13,55,4,104,34.8047366189445,0.431868386313565,179
1356,14,54,3,109,34.5047366194246,0.429785052983565,191
1437,14,52,3,99,34.6547366191846,0.425618386323565,161
1475,13,53,7,98,34.6818199524745,0.425618386323565,181
1633,18,55,4,99,34.8568199521945,0.425618386323565,197
1278,8,56,0,115,34.3880699529447,0.423535052993565,178
1331,15,56,5,107,34.6109866192546,0.423535052993565,180
1641,16,56,3,107,34.8672366188445,0.421451719663565,174
1303,13,54,3,106,34.4422366195247,0.419368386333565,223
1334,13,56,4,109,34.4839032861246,0.419368386333565,226
1314,15,58,2,112,34.5714032859846,0.415201719673565,205
1268,8,56,3,108,34.3880699529447,0.413118386343565,185
1640,16,58,4,93,34.9359866187344,0.413118386343565,235
1610,12,57,3,106,34.8734866188344,0.411035053013565,201
1336,14,56,3,107,34.6151532859146,0.408951719683565,185
1284,10,57,2,105,34.4089032862447,0.406868386353565,190
1490,16,54,5,105,34.7526532856945,0.406868386353565,173
1309,9,56,2,106,34.4422366195247,0.404785053023565,206
1306,16,58,1,113,34.5755699526446,0.404785053023565,228
1293,18,57,1,113,34.5734866193146,0.400618386363565,204
1619,16,59,5,93,34.9359866187344,0.400618386363565,252
1448,19,55,2,106,34.7130699524245,0.396451719703565,262
1569,16,55,5,102,34.8005699522845,0.396451719703565,188
1598,13,56,4,104,34.8714032855044,0.396451719703565,174
1325,10,55,2,106,34.4526532861747,0.394368386373565,221
1324,19,57,4,109,34.5047366194246,0.394368386373565,195
1485,15,54,4,98,34.6672366191645,0.394368386373565,160
1315,15,58,4,109,34.5859866192946,0.390201719713565,169
1581,15,54,4,104,34.8005699522845,0.390201719713565,193
1593,12,56,4,99,34.8672366188445,0.383951719723565,174
1288,21,55,1,110,34.5255699527246,0.381868386393565,249
1319,16,57,1,106,34.5047366194246,0.379785053063565,265
1630,14,55,4,103,34.8547366188645,0.379785053063565,157
1293,17,56,3,109,34.5172366194046,0.375618386403565,262
1408,15,54,5,103,34.6422366192046,0.375618386403565,159
1442,13,54,4,109,34.6547366191846,0.375618386403565,156
1312,15,55,3,108,34.5734866193146,0.369368386413565,208
1686,19,56,18,90,34.9318199520744,0.369368386413565,247
1289,13,56,2,109,34.5109866194146,0.367285053083565,284
1488,14,54,3,102,34.7422366190445,0.367285053083565,186
1489,16,54,3,106,34.7151532857545,0.365201719753565,172
