"X","Y","mg","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
34.9818199519944,0.73395171916357,293,1509.46875,47,28,1809,27,60,33,19,18.6482696533203,14,259,622,91
34.9984866186344,0.73395171916357,289,1265.92700195312,47,28,1699,23,61,33,20,18.7248229980469,5,-71,1128,96
35.0568199518744,0.73395171916357,272,1251.49487304688,47,28,1864,23,60,34,19,18.6387596130371,4,179,827,99
35.0589032852044,0.73395171916357,287,1251.49487304688,47,28,1864,23,60,34,19,18.6387596130371,4,179,827,99
35.0651532851944,0.73395171916357,311,1293.40771484375,48,28,1854,29,60,31,20,18.6348133087158,8,43,1344,100
35.1172366184443,0.73395171916357,382,1181.24401855469,47,28,1878,19,59,32,21,18.6328754425049,1,-81,1766,113
35.0484866185544,0.73186838583357,356,1162.66491699219,45,27,1786,22,59,35,20,18.6763572692871,8,-112,1661,95
35.0672366185244,0.73186838583357,317,1293.40771484375,48,28,1854,29,60,31,20,18.6348133087158,8,43,1344,100
35.1339032850843,0.73186838583357,388,1167.43310546875,47,28,1893,22,60,32,21,18.6279926300049,4,-55,1912,111
34.9672366186844,0.72978505250357,320,1382.52038574219,46,28,1749,27,60,35,19,18.6584434509277,6,52,1176,94
34.9734866186744,0.72978505250357,326,1475.10205078125,47,28,1784,28,59,34,19,18.6493816375732,10,89,914,93
34.9901532853144,0.72978505250357,283,1428.3994140625,46,28,1734,24,60,34,20,18.6827411651611,8,0,990,90
35.0068199519544,0.72978505250357,310,1133.2705078125,47,28,1699,22,62,33,20,18.7396984100342,2,-48,1409,100
35.0234866185944,0.72978505250357,302,1076.71813964844,45,27,1737,17,59,35,20,18.7459812164307,3,97,1486,102
35.0422366185644,0.72978505250357,286,1098.91076660156,45,27,1784,19,57,36,20,18.7108726501465,7,77,1379,96
35.0443199518944,0.72978505250357,305,1162.66491699219,45,27,1786,22,59,35,20,18.6763572692871,8,-112,1661,95
35.1422366184043,0.72978505250357,393,1161.34948730469,46,28,1894,22,60,33,21,18.6241779327393,3,-101,2052,110
34.9568199520344,0.72770171917357,305,1266.04223632812,46,28,1758,26,61,34,20,18.6676139831543,15,281,1436,92
34.9734866186744,0.72770171917357,297,1475.10205078125,47,28,1784,28,59,34,19,18.6493816375732,10,89,914,93
34.9797366186644,0.72770171917357,305,1509.46875,47,28,1809,27,60,33,19,18.6482696533203,14,259,622,91
34.9943199519744,0.72770171917357,310,1265.92700195312,47,28,1699,23,61,33,20,18.7248229980469,5,-71,1128,96
34.9984866186344,0.72770171917357,305,1265.92700195312,47,28,1699,23,61,33,20,18.7248229980469,5,-71,1128,96
35.0359866185744,0.72770171917357,368,1098.91076660156,45,27,1784,19,57,36,20,18.7108726501465,7,77,1379,96
35.0380699519044,0.72770171917357,311,1098.91076660156,45,27,1784,19,57,36,20,18.7108726501465,7,77,1379,96
35.0401532852344,0.72770171917357,299,1098.91076660156,45,27,1784,19,57,36,20,18.7108726501465,7,77,1379,96
35.1464032850643,0.72770171917357,387,1169.171875,47,29,1930,21,59,32,21,18.6089725494385,2,57,1883,111
35.1484866183943,0.72770171917357,368,1169.171875,47,29,1930,21,59,32,21,18.6089725494385,2,57,1883,111
34.9255699520844,0.72561838584357,323,1203.20129394531,44,27,1629,17,61,37,19,18.6554126739502,1,-111,2188,102
34.9505699520444,0.72561838584357,342,1143.0078125,47,27,1702,21,60,34,20,18.6816215515137,6,11,1578,95
35.0172366186044,0.72561838584357,331,1122.94604492188,46,28,1701,17,58,34,20,18.7398090362549,3,-128,1600,98
35.0672366185244,0.72561838584357,310,1340.14794921875,48,28,1896,24,61,32,20,18.613676071167,3,152,717,109
35.1318199517543,0.72561838584357,391,1167.65014648438,47,28,1902,19,59,32,21,18.6261119842529,3,-9,2053,114
35.1464032850643,0.72561838584357,393,1173.15185546875,47,28,1929,19,58,31,22,18.6104431152344,4,0,1989,110
35.1505699517243,0.72561838584357,361,1173.15185546875,47,28,1929,19,58,31,22,18.6104431152344,4,0,1989,110
34.9297366187444,0.72353505251357,309,1091.35717773438,46,27,1654,18,59,35,19,18.6635322570801,5,-12,2008,104
34.9859866186544,0.72353505251357,321,1507.12719726562,47,28,1814,27,61,33,20,18.6454582214355,10,225,47,95
35.1026532851343,0.72353505251357,389,1203.02722167969,48,28,1896,24,59,31,21,18.6258010864258,3,40,1545,112
