"X","Y","k","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
35.0755699518444,0.78186838575357,422,1101.6689453125,45,28,1758,17,59,34,20,18.7309398651123,5,-89,1979,108
35.0839032851643,0.78186838575357,416,1102.11022949219,46,28,1777,17,59,34,21,18.7150802612305,4,-27,1878,108
35.0964032851443,0.78186838575357,446,1119.21228027344,46,27,1810,15,58,34,20,18.6910552978516,3,4,1710,109
35.1151532851143,0.78186838575357,398,1122.95654296875,47,28,1807,18,59,33,20,18.6767845153809,2,-140,1849,107
35.1214032851043,0.78186838575357,399,1131.39831542969,47,28,1830,19,58,34,20,18.6632843017578,4,-109,1644,107
35.1234866184343,0.77978505242357,393,1131.39831542969,47,28,1830,19,58,34,20,18.6632843017578,4,-109,1644,107
35.1339032850843,0.77770171909357,409,1144.82580566406,46,27,1871,17,58,34,20,18.6437072753906,4,44,1495,108
35.1109866184543,0.77561838576357,401,1167.91015625,47,28,1840,19,60,33,20,18.6495704650879,10,-88,1768,106
35.0693199518544,0.77353505243357,436,1086.72180175781,45,27,1768,22,60,35,20,18.7307415008545,3,-39,1908,106
35.0943199518143,0.77145171910357,448,1139.76062011719,45,27,1814,15,58,35,20,18.6720962524414,4,-71,1822,106
35.1193199517743,0.77145171910357,424,1178.91284179688,47,28,1862,22,60,33,20,18.6383476257324,4,31,1586,104
35.0714032851844,0.76936838577357,405,1086.72180175781,45,27,1768,22,60,35,20,18.7307415008545,3,-39,1908,106
35.0922366184843,0.76936838577357,429,1121.8583984375,45,27,1815,18,58,35,20,18.682710647583,4,51,1662,105
35.0984866184743,0.76936838577357,401,1139.76062011719,45,27,1814,15,58,35,20,18.6720962524414,4,-71,1822,106
35.1359866184143,0.76936838577357,411,1164.03540039062,46,27,1869,19,58,33,21,18.6301612854004,1,-26,1574,113
35.1234866184343,0.76728505244357,413,1236.67492675781,47,28,1895,20,58,33,20,18.613109588623,5,78,1347,108
35.1318199517543,0.76728505244357,426,1225.20568847656,47,28,1900,20,58,32,20,18.6134223937988,2,51,1418,109
35.1068199517943,0.76520171911357,407,1177.16345214844,46,27,1872,17,60,34,20,18.6365947723389,5,54,1427,106
35.1401532850743,0.76520171911357,407,1187.35461425781,47,28,1877,18,57,33,21,18.621696472168,2,-81,1698,110
35.0651532851944,0.76311838578357,363,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0776532851743,0.76311838578357,398,1090.13122558594,43,26,1799,21,58,37,20,18.7091217041016,11,7,1756,100
35.0922366184843,0.76311838578357,399,1114.599609375,44,27,1863,22,58,36,20,18.6738719940186,4,293,1336,103
35.1047366184643,0.76311838578357,431,1177.16345214844,46,27,1872,17,60,34,20,18.6365947723389,5,54,1427,106
35.1318199517543,0.76311838578357,435,1225.20568847656,47,28,1900,20,58,32,20,18.6134223937988,2,51,1418,109
35.1401532850743,0.76311838578357,414,1187.35461425781,47,28,1877,18,57,33,21,18.621696472168,2,-81,1698,110
35.0443199518944,0.76103505245357,353,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0484866185544,0.76103505245357,365,0,0,0,0,0,0,0,0,0,0,0,0,0
35.1443199517343,0.76103505245357,419,0,0,0,0,0,0,0,0,0,0,0,0,0
35.1380699517443,0.75895171912357,411,1213.61169433594,47,28,1904,19,58,32,21,18.6069717407227,4,-1,1586,110
35.0484866185544,0.75686838579357,359,1114.50317382812,47,28,1749,19,57,32,21,18.7403221130371,6,-67,1968,102
35.0609866185344,0.75686838579357,358,1105.6376953125,47,27,1759,20,59,33,21,18.7242107391357,8,-36,2104,104
35.0797366185043,0.75686838579357,349,1084.38330078125,46,27,1765,21,58,34,20,18.7168426513672,3,-168,2127,104
35.1068199517943,0.75686838579357,437,1176.31274414062,47,28,1881,19,61,33,20,18.6327533721924,5,21,1373,105
35.1339032850843,0.75686838579357,467,1252.90515136719,47,28,1918,20,58,33,20,18.6015949249268,2,70,1296,117
34.9859866186544,0.75478505246357,313,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0464032852244,0.75478505246357,371,1114.50317382812,47,28,1749,19,57,32,21,18.7403221130371,6,-67,1968,102
35.0714032851844,0.75478505246357,343,1089.50109863281,46,27,1763,23,59,34,20,18.7205638885498,7,-8,2024,105
35.1401532850743,0.75478505246357,418,1213.61169433594,47,28,1904,19,58,32,21,18.6069717407227,4,-1,1586,110
34.9630699520244,0.75270171913357,245,0,0,0,0,0,0,0,0,0,0,0,0,0
34.9651532853544,0.75270171913357,252,0,0,0,0,0,0,0,0,0,0,0,0,0
34.9880699519844,0.75270171913357,272,0,0,0,0,0,0,0,0,0,0,0,0,0
