"annual_ppt","elevation","occ","slope","temp_annual_range","treecover","wetness_index","X","Y","k"
1699.62451171875,1571,17,2,17.9005661010742,17,111,34.5839032859646,0.683951719243564,157
1458.07556152344,1550,18,4,17.7912101745605,13,101,34.5609866193346,0.681868385913564,160
1583.81213378906,1560,18,2,18.0070781707764,15,112,34.6297366192246,0.681868385913564,123
1563.49389648438,1643,15,1,18.4472827911377,20,112,34.8109866189345,0.681868385913564,164
1264.90148925781,1852,20,3,18.6176605224609,52,110,35.0172366186044,0.681868385913564,369
1156.31982421875,1340,10,4,17.5603656768799,19,110,34.4505699528447,0.679785052583564,175
1085.01904296875,1470,15,1,18.2133102416992,18,104,34.7193199524145,0.679785052583564,137
1170.11730957031,1345,11,2,17.5761451721191,26,111,34.4568199528346,0.677701719253564,165
1158.67749023438,1595,13,5,18.5170555114746,15,101,34.8547366188645,0.677701719253564,177
1239.54675292969,1885,19,2,18.6210346221924,7,113,35.0630699518644,0.677701719253564,406
1278.87121582031,1914,18,3,18.6138706207275,11,115,35.0964032851443,0.677701719253564,407
1156.31982421875,1340,10,4,17.5603656768799,19,110,34.4526532861747,0.675618385923564,167
1227.14233398438,1569,16,4,18.4698505401611,16,105,34.8318199522345,0.675618385923564,193
1179.81970214844,1600,15,5,18.5035552978516,33,102,34.8505699522045,0.675618385923564,183
1135.36999511719,1604,20,2,18.6031303405762,19,104,34.9109866187744,0.675618385923564,206
1410.13525390625,1544,18,5,17.7379245758057,14,98,34.5505699526846,0.673535052593564,158
1431.22692871094,1520,17,1,17.7636947631836,27,102,34.5589032860046,0.673535052593564,147
1480.8759765625,1617,14,2,18.3827171325684,30,110,34.7839032856445,0.673535052593564,187
1424.21228027344,1336,10,6,17.4669456481934,23,95,34.4234866195547,0.669368385933564,159
1626.97802734375,1649,19,4,18.3532848358154,23,106,34.7547366190245,0.669368385933564,156
1139.42163085938,1730,18,2,18.6573047637939,23,99,34.9401532853944,0.667285052603564,235
1501.79821777344,1507,17,5,17.9360275268555,27,107,34.6214032859046,0.665201719273564,107
1129.2666015625,1528,16,4,18.2225494384766,15,101,34.7297366190645,0.665201719273564,116
1566.84106445312,1640,17,2,18.4427814483643,19,110,34.8151532855945,0.663118385943564,192
1348.91625976562,1894,21,3,18.6076927185059,9,112,35.0526532852144,0.663118385943564,313
1193.74340820312,1807,22,2,18.6358833312988,12,97,34.9943199519744,0.661035052613564,410
1139.23132324219,1694,20,5,18.6376190185547,21,101,34.9297366187444,0.658951719283564,232
1283.8388671875,1891,19,0,18.620304107666,12,116,35.0651532851944,0.658951719283564,418
